Latitude,Longitude,Location,Maintainer,Status
49.267819400,-123.0693906,Fountain location:Commercial & 3rd,Engineering,Permanent
49.237195200,-123.0972829,Fountain location:37th & Prince Edward,Engineering,Permanent
49.248580400,-123.1012390,Fountain location:King Edward & Main,Engineering,Permanent
49.282385000,-123.1405080,Fountain location:Nicola & Beach,Engineering,Permanent
49.234752000,-123.0589120,Fountain location:39th & Nanaimo,Engineering,Permanent
49.219505000,-123.1064150,Fountain location:56th & Ontario,Engineering,Permanent
49.281542000,-123.1199370,Fountain location:Granville & Robson,Engineering,Permanent
49.245762000,-123.1010200,Fountain location:28th & Main,Engineering,Permanent
49.262066000,-123.0656190,Fountain location:Broadway & Victoria,Engineering,Permanent
49.262875000,-123.1050260,Fountain location:Broadway & Ontario,Engineering,Permanent
49.280998000,-123.0544480,Fountain location:Hastings & Kamloops,Engineering,Permanent
49.265329000,-123.1420810,Fountain location:1650 W 7th,Engineering,Permanent
49.237587000,-123.1273840,Fountain location:37th & Oak,Engineering,Permanent
49.281386000,-123.0972310,Fountain location:Hastings & Gore,Engineering,Permanent
